"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 21:19:24 GMT 2022","Wed Sep 14 21:19:31 GMT 2022","6514","","Funcionalidade: Adicionar formação acadêmica","","","","Deve adicionar uma formação acadêmica com sucesso",""
"passed","Wed Sep 14 21:19:37 GMT 2022","Wed Sep 14 21:19:39 GMT 2022","1483","","Funcionalidade: Adicionar formação acadêmica","","","","Deve excluir uma experiência com sucesso",""
"passed","Wed Sep 14 21:19:31 GMT 2022","Wed Sep 14 21:19:37 GMT 2022","6044","","Funcionalidade: Adicionar formação acadêmica","","","","Deve adicionar uma formação acadêmica Atual com sucesso",""
"passed","Wed Sep 14 21:19:15 GMT 2022","Wed Sep 14 21:19:16 GMT 2022","282","","Testes de Autenticação","","","","[GET] - Verificar Usuário Logado com variavel Global",""
"passed","Wed Sep 14 21:19:20 GMT 2022","Wed Sep 14 21:19:21 GMT 2022","227","","Testes de Atualizacão","","","","[PUT] - Adiciona formação acadêmica",""
"passed","Wed Sep 14 21:19:15 GMT 2022","Wed Sep 14 21:19:15 GMT 2022","274","","Testes de Autenticação","","","","[GET] - Verificar Usuário Logado com variavel tempo de execução",""
"passed","Wed Sep 14 21:20:00 GMT 2022","Wed Sep 14 21:20:01 GMT 2022","1535","","Funcionalidade: Visualização dos perfis","","","","Validar lista vazia",""
"passed","Wed Sep 14 21:19:15 GMT 2022","Wed Sep 14 21:19:15 GMT 2022","388","","Testes de Autenticação","","","","[POST] - Teste de autenticação",""
"failed","Wed Sep 14 21:19:47 GMT 2022","Wed Sep 14 21:19:59 GMT 2022","12393","","Funcionalidade: Visualização dos perfis","","","","Validar o primeiro item da lista",""
"passed","Wed Sep 14 21:19:39 GMT 2022","Wed Sep 14 21:19:40 GMT 2022","1589","","Funcionalidade: Adicionar formação acadêmica","","","","Validar mensagem de campos obrigatórios quando não preenchidos",""
